project,limit,threshold,precision,recall,f1
de-tfidf,2,0.0,0.2578,0.4668,0.3265
de-tfidf,2,0.05,0.2581,0.4665,0.3267
de-tfidf,2,0.1,0.2632,0.4627,0.3287
de-tfidf,2,0.15,0.2772,0.4564,0.3360
de-tfidf,2,0.2,0.2883,0.4461,0.3399
de-tfidf,2,0.25,0.2842,0.4243,0.3298
de-tfidf,2,0.3,0.264,0.3894,0.3047
de-tfidf,2,0.35,0.235,0.3391,0.2687
de-tfidf,2,0.4,0.2011,0.2829,0.2274
de-tfidf,2,0.45,0.1572,0.214,0.1754
de-tfidf,2,0.5,0.1117,0.1448,0.1221
de-tfidf,2,0.55,0.0699,0.0851,0.0746
de-tfidf,2,0.6,0.0424,0.0473,0.0438
de-tfidf,2,0.65,0.0258,0.0271,0.0261
de-tfidf,2,0.7,0.0163,0.0163,0.0162
de-tfidf,2,0.75,0.0107,0.0106,0.0106
de-tfidf,2,0.8,0.0071,0.0071,0.0071
de-tfidf,2,0.85,0.0046,0.0046,0.0046
de-tfidf,2,0.9,0.0028,0.0028,0.0028
de-tfidf,2,0.95,0.0012,0.0011,0.0011
de-omikuji,2,0.0,0.4394,0.7796,0.5511
de-omikuji,2,0.05,0.5976,0.7719,0.6525
de-omikuji,2,0.1,0.6522,0.7342,0.6730
de-omikuji,2,0.15,0.6618,0.6982,0.6652
de-omikuji,2,0.2,0.6553,0.6658,0.6486
de-omikuji,2,0.25,0.6429,0.6373,0.6300
de-omikuji,2,0.3,0.6261,0.6121,0.6100
de-omikuji,2,0.35,0.6072,0.5874,0.5894
de-omikuji,2,0.4,0.5894,0.5663,0.5706
de-omikuji,2,0.45,0.5722,0.5472,0.5530
de-omikuji,2,0.5,0.5532,0.5271,0.5340
de-omikuji,2,0.55,0.5336,0.5068,0.5144
de-omikuji,2,0.6,0.5139,0.4876,0.4954
de-omikuji,2,0.65,0.4946,0.4687,0.4766
de-omikuji,2,0.7,0.4748,0.4502,0.4579
de-omikuji,2,0.75,0.4548,0.4315,0.4388
de-omikuji,2,0.8,0.4329,0.4108,0.4179
de-omikuji,2,0.85,0.4087,0.3883,0.3948
de-omikuji,2,0.9,0.3819,0.3634,0.3694
de-omikuji,2,0.95,0.347,0.3304,0.3358
de-fasttext,2,0.0,0.4176,0.7166,0.5159
de-fasttext,2,0.05,0.5365,0.7117,0.5916
de-fasttext,2,0.1,0.5835,0.6884,0.6114
de-fasttext,2,0.15,0.6091,0.6546,0.6140
de-fasttext,2,0.2,0.6106,0.6188,0.6012
de-fasttext,2,0.25,0.5998,0.5847,0.5816
de-fasttext,2,0.3,0.5817,0.5545,0.5594
de-fasttext,2,0.35,0.5584,0.5263,0.5350
de-fasttext,2,0.4,0.5332,0.5004,0.5104
de-fasttext,2,0.45,0.5046,0.4733,0.4832
de-fasttext,2,0.5,0.4766,0.4485,0.4575
de-fasttext,2,0.55,0.4482,0.424,0.4318
de-fasttext,2,0.6,0.4197,0.3988,0.4055
de-fasttext,2,0.65,0.3917,0.3739,0.3796
de-fasttext,2,0.7,0.3632,0.3483,0.3531
de-fasttext,2,0.75,0.334,0.3217,0.3257
de-fasttext,2,0.8,0.3035,0.294,0.2971
de-fasttext,2,0.85,0.2721,0.2656,0.2677
de-fasttext,2,0.9,0.2379,0.2343,0.2354
de-fasttext,2,0.95,0.1977,0.1965,0.1969
de-nn_ensemble,2,0.00,0.5723,0.7657,0.6343
de-nn_ensemble,2,0.05,0.6051,0.7614,0.6536
de-nn_ensemble,2,0.10,0.6385,0.7484,0.6695
de-nn_ensemble,2,0.15,0.6601,0.7250,0.6738
de-nn_ensemble,2,0.20,0.6687,0.6970,0.6683
de-nn_ensemble,2,0.25,0.6639,0.6690,0.6545
de-nn_ensemble,2,0.30,0.6502,0.6416,0.6359
de-nn_ensemble,2,0.35,0.6323,0.6156,0.6152
de-nn_ensemble,2,0.40,0.6125,0.5922,0.5945
de-nn_ensemble,2,0.45,0.5928,0.5712,0.5748
de-nn_ensemble,2,0.50,0.5740,0.5512,0.5559
de-nn_ensemble,2,0.55,0.5563,0.5335,0.5386
de-nn_ensemble,2,0.60,0.5406,0.5181,0.5234
de-nn_ensemble,2,0.65,0.5250,0.5025,0.5080
de-nn_ensemble,2,0.70,0.5065,0.4844,0.4900
de-nn_ensemble,2,0.75,0.4894,0.4674,0.4733
de-nn_ensemble,2,0.80,0.4743,0.4529,0.4587
de-nn_ensemble,2,0.85,0.4606,0.4395,0.4454
de-nn_ensemble,2,0.90,0.4466,0.4260,0.4318
de-nn_ensemble,2,0.95,0.4323,0.4124,0.4181
en-tfidf,2,0.0,0.1943,0.3585,0.2483
en-tfidf,2,0.05,0.1943,0.3585,0.2482
en-tfidf,2,0.1,0.1941,0.358,0.2480
en-tfidf,2,0.15,0.1934,0.3567,0.2471
en-tfidf,2,0.2,0.1919,0.3533,0.2449
en-tfidf,2,0.25,0.1872,0.344,0.2387
en-tfidf,2,0.3,0.1778,0.325,0.2261
en-tfidf,2,0.35,0.1615,0.2932,0.2046
en-tfidf,2,0.4,0.1393,0.251,0.1758
en-tfidf,2,0.45,0.1125,0.2007,0.1413
en-tfidf,2,0.5,0.0837,0.1466,0.1041
en-tfidf,2,0.55,0.0565,0.0967,0.0694
en-tfidf,2,0.6,0.0332,0.0546,0.0399
en-tfidf,2,0.65,0.0164,0.0261,0.0194
en-tfidf,2,0.7,0.0067,0.0098,0.0076
en-tfidf,2,0.75,0.0018,0.0025,0.0019
en-tfidf,2,0.8,0.0004,0.0004,0.0004
en-tfidf,2,0.85,0.000,0.000,0.0000
en-tfidf,2,0.9,0.000,0.000,0.0000
en-tfidf,2,0.95,0.000,0.000,0.0000
en-omikuji,2,0.0,0.4292,0.7925,0.5489
en-omikuji,2,0.05,0.5817,0.7841,0.6461
en-omikuji,2,0.1,0.646,0.7531,0.6760
en-omikuji,2,0.15,0.6648,0.7168,0.6745
en-omikuji,2,0.2,0.6623,0.6824,0.6604
en-omikuji,2,0.25,0.6497,0.6509,0.6410
en-omikuji,2,0.3,0.6321,0.6226,0.6199
en-omikuji,2,0.35,0.6115,0.5959,0.5974
en-omikuji,2,0.4,0.5889,0.5703,0.5741
en-omikuji,2,0.45,0.5651,0.5453,0.5504
en-omikuji,2,0.5,0.5404,0.5207,0.5262
en-omikuji,2,0.55,0.5162,0.4971,0.5027
en-omikuji,2,0.6,0.4913,0.4734,0.4788
en-omikuji,2,0.65,0.4663,0.4497,0.4548
en-omikuji,2,0.7,0.4389,0.4235,0.4283
en-omikuji,2,0.75,0.4104,0.3964,0.4008
en-omikuji,2,0.8,0.3801,0.3677,0.3716
en-omikuji,2,0.85,0.3469,0.3362,0.3396
en-omikuji,2,0.9,0.3077,0.2988,0.3016
en-omikuji,2,0.95,0.2592,0.2527,0.2547
en-fasttext,2,0.0,0.4011,0.7486,0.5158
en-fasttext,2,0.05,0.5112,0.7434,0.5862
en-fasttext,2,0.1,0.5659,0.7299,0.6162
en-fasttext,2,0.15,0.603,0.7056,0.6305
en-fasttext,2,0.2,0.6195,0.6738,0.6292
en-fasttext,2,0.25,0.6215,0.6411,0.6189
en-fasttext,2,0.3,0.6106,0.608,0.6004
en-fasttext,2,0.35,0.5908,0.5764,0.5770
en-fasttext,2,0.4,0.5657,0.546,0.5509
en-fasttext,2,0.45,0.5362,0.516,0.5221
en-fasttext,2,0.5,0.5045,0.486,0.4918
en-fasttext,2,0.55,0.471,0.455,0.4600
en-fasttext,2,0.6,0.4366,0.4229,0.4273
en-fasttext,2,0.65,0.4027,0.3912,0.3948
en-fasttext,2,0.7,0.3656,0.3564,0.3593
en-fasttext,2,0.75,0.327,0.3196,0.3220
en-fasttext,2,0.8,0.2858,0.2802,0.2819
en-fasttext,2,0.85,0.2404,0.2366,0.2378
en-fasttext,2,0.9,0.1893,0.1869,0.1877
en-fasttext,2,0.95,0.1277,0.1264,0.1268
en-nn_ensemble,2,0.00,0.5070,0.7834,0.5971
en-nn_ensemble,2,0.05,0.5438,0.7808,0.6202
en-nn_ensemble,2,0.10,0.5822,0.7754,0.6432
en-nn_ensemble,2,0.15,0.6194,0.7637,0.6627
en-nn_ensemble,2,0.20,0.6474,0.7417,0.6722
en-nn_ensemble,2,0.25,0.6632,0.7126,0.6714
en-nn_ensemble,2,0.30,0.6628,0.6789,0.6590
en-nn_ensemble,2,0.35,0.6481,0.6432,0.6369
en-nn_ensemble,2,0.40,0.6223,0.6063,0.6078
en-nn_ensemble,2,0.45,0.5901,0.5702,0.5749
en-nn_ensemble,2,0.50,0.5515,0.5317,0.5372
en-nn_ensemble,2,0.55,0.5095,0.4917,0.4969
en-nn_ensemble,2,0.60,0.4653,0.4495,0.4543
en-nn_ensemble,2,0.65,0.4155,0.4019,0.4060
en-nn_ensemble,2,0.70,0.3590,0.3476,0.3511
en-nn_ensemble,2,0.75,0.2944,0.2852,0.2880
en-nn_ensemble,2,0.80,0.2352,0.2277,0.2300
en-nn_ensemble,2,0.85,0.2069,0.2008,0.2026
en-nn_ensemble,2,0.90,0.1886,0.1830,0.1847
en-nn_ensemble,2,0.95,0.1718,0.1666,0.1682


