ddc_class	classname
0	Informatik, Informationswissenschaft, allgemeine Werke
1	Philosophie und Psychologie
2	Religion
3	Sozialwissenschaften
4	Sprache
5	Naturwissenschaften und Mathematik
6	Technik, Medizin, angewandte Wissenschaften
7	Künste und Unterhaltung
8	Literatur
9	Geschichte und Geografie
00	Informatik, Wissen, Systeme
01	Bibliografien
02	Bibliotheks- und Informationswissenschaften
03	Enzyklopädien, Faktenbücher
04	[Unbesetzt]
05	Zeitschriften, fortlaufende Sammelwerke
06	Verbände, Organisationen, Museen
07	Publizistische Medien, Journalismus, Verlagswesen
08	Allgemeine Sammelwerke, Zitatensammlungen
09	Handschriften, seltene Bücher
10	Philosophie
11	Metaphysik
12	Epistemologie
13	Parapsychologie, Okkultismus
14	Philosophische Schulen
15	Psychologie
16	Logik
17	Ethik
18	Antike, mittelalterliche und östliche Philosophie
19	Neuzeitliche westliche Philosophie
20	Religion
21	Religionsphilosophie, Religionstheorie
22	Bibel
23	Christentum, Christliche Theologie
24	Christliche Erfahrung, christliches Leben
25	Christliche Pastoraltheologie, Ordensgemeinschaften
26	Kirchenorganisation, Sozialarbeit, Religionsausübung
27	Geschichte des Christentums
28	Christliche Konfessionen
29	Andere Religionen
30	Sozialwissenschaften, Soziologie
31	Statistiken
32	Politikwissenschaft
33	Wirtschaft
34	Recht
35	Öffentliche Verwaltung, Militärwissenschaft
36	Soziale Probleme, Sozialdienste
37	Bildung und Erziehung
38	Handel, Kommunikation, Verkehr
39	Bräuche, Etikette, Folklore
40	Sprache
41	Linguistik
42	Englisch, Altenglisch
43	Deutsch, germanische Sprachen allgemein
44	Französisch, romanische Sprachen allgemein
45	Italienisch, Rumänisch, Rätoromanisch
46	Spanisch, Portugiesisch
47	Latein, italische Sprachen
48	Griechisch
49	Andere Sprachen
50	Naturwissenschaften
51	Mathematik
52	Astronomie
53	Physik
54	Chemie
55	Geowissenschaften, Geologie
56	Fossilien, Paläontologie
57	Biowissenschaften; Biologie
58	Pflanzen (Botanik)
59	Tiere (Zoologie)
60	Technik
61	Medizin und Gesundheit
62	Ingenieurwissenschaften
63	Landwirtschaft
64	Hauswirtschaft und Familie
65	Management, Öffentlichkeitsarbeit
66	Chemische Verfahrenstechnik
67	Industrielle Fertigung
68	Industrielle Fertigung für einzelne Verwendungszwecke
69	Hausbau, Bauhandwerk
70	Künste
71	Landschaftsgestaltung, Raumplanung
72	Architektur
73	Bildhauerkunst, Keramik, Metallkunst
74	Zeichnung, angewandte Kunst
75	Malerei
76	Grafik
77	Fotografie, Computerkunst
78	Musik
79	Sport, Spiele, Unterhaltung
80	Literatur, Rhetorik, Literaturwissenschaft
81	Amerikanische Literatur in Englisch
82	Englische, altenglische Literaturen
83	Deutsche und verwandte Literaturen
84	Französische und verwandte Literaturen
85	Italienische, rumänische, rätoromanische Literaturen
86	Spanische, portugiesische Literaturen
87	Lateinische, italische Literaturen
88	Griechische Literaturen
89	Andere Literaturen
90	Geschichte
91	Geografie, Reisen
92	Biografie, Genealogie
93	Geschichte des Altertums (bis ca. 499), Archäologie
94	Geschichte Europas
95	Geschichte Asiens
96	Geschichte Afrikas
97	Geschichte Nordamerikas
98	Geschichte Südamerikas
99	Geschichte anderer Gebiete
000	Informatik, Informationswissenschaft, allgemeine Werke
001	Wissen
002	Das Buch
003	Systeme
004	Datenverarbeitung; Informatik
005	Computerprogrammierung, Programme, Daten
